epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.5564,0.62544,0.67094,1,0.64618,0.0671375,0.000331944,0.000331944
2,91.1044,0.5339,0.71145,1,0.61683,0.0341243,0.000652105,0.000652105
3,134.307,0.52432,0.60585,1,0.65666,0.00109795,0.000959066,0.000959066
4,177.746,0.51589,0.72373,1,0.52313,0.0009406,0.0009406,0.0009406
5,221.513,0.491,0.73314,1,0.53889,0.0009208,0.0009208,0.0009208
6,264.868,0.49065,0.72504,1,0.5418,0.000901,0.000901,0.000901
7,308.381,0.46523,0.74255,1,0.50694,0.0008812,0.0008812,0.0008812
8,351.909,0.46149,0.75536,1,0.48019,0.0008614,0.0008614,0.0008614
9,395.376,0.43586,0.7679,1,0.46769,0.0008416,0.0008416,0.0008416
10,438.989,0.42871,0.7713,1,0.49128,0.0008218,0.0008218,0.0008218
11,482.863,0.414,0.7781,1,0.47818,0.000802,0.000802,0.000802
12,527.076,0.41475,0.77104,1,0.48259,0.0007822,0.0007822,0.0007822
13,570.956,0.40025,0.78176,1,0.46757,0.0007624,0.0007624,0.0007624
14,614.959,0.39695,0.79979,1,0.43617,0.0007426,0.0007426,0.0007426
15,658.755,0.37473,0.78176,1,0.48779,0.0007228,0.0007228,0.0007228
16,702.689,0.37145,0.77862,1,0.46486,0.000703,0.000703,0.000703
17,746.542,0.36774,0.78986,1,0.45613,0.0006832,0.0006832,0.0006832
18,791.131,0.35664,0.79195,1,0.42298,0.0006634,0.0006634,0.0006634
19,835.763,0.32105,0.79639,1,0.45659,0.0006436,0.0006436,0.0006436
20,880.079,0.31976,0.79613,1,0.43613,0.0006238,0.0006238,0.0006238
21,924.246,0.3119,0.80188,1,0.44214,0.000604,0.000604,0.000604
22,968.815,0.29748,0.80894,1,0.43118,0.0005842,0.0005842,0.0005842
23,1013.6,0.32006,0.80293,1,0.4535,0.0005644,0.0005644,0.0005644
24,1058.17,0.29946,0.81364,1,0.44829,0.0005446,0.0005446,0.0005446
25,1103,0.28573,0.81495,1,0.42204,0.0005248,0.0005248,0.0005248
26,1147.75,0.26361,0.81652,1,0.43869,0.000505,0.000505,0.000505
27,1192.54,0.27515,0.81547,1,0.46108,0.0004852,0.0004852,0.0004852
28,1237.38,0.25243,0.81521,1,0.44281,0.0004654,0.0004654,0.0004654
29,1282.01,0.2451,0.81992,1,0.43136,0.0004456,0.0004456,0.0004456
30,1332.3,0.24054,0.82514,1,0.43442,0.0004258,0.0004258,0.0004258
31,1387.98,0.23278,0.82305,1,0.45208,0.000406,0.000406,0.000406
32,1443.48,0.20661,0.82305,1,0.47446,0.0003862,0.0003862,0.0003862
33,1499.45,0.21321,0.82541,1,0.4482,0.0003664,0.0003664,0.0003664
34,1555.5,0.19958,0.83116,1,0.4397,0.0003466,0.0003466,0.0003466
35,1611.64,0.18271,0.82985,1,0.46266,0.0003268,0.0003268,0.0003268
36,1665.95,0.18302,0.82828,1,0.47341,0.000307,0.000307,0.000307
37,1714.85,0.18673,0.83429,1,0.45914,0.0002872,0.0002872,0.0002872
38,1759.68,0.16865,0.83612,1,0.45984,0.0002674,0.0002674,0.0002674
39,1804.55,0.15637,0.839,1,0.48427,0.0002476,0.0002476,0.0002476
40,1852.66,0.14825,0.83638,1,0.49442,0.0002278,0.0002278,0.0002278
41,1934.87,0.15801,0.83586,1,0.48656,0.000208,0.000208,0.000208
42,1979.32,0.13523,0.83873,1,0.48528,0.0001882,0.0001882,0.0001882
43,2024.11,0.13187,0.83638,1,0.48761,0.0001684,0.0001684,0.0001684
44,2069.16,0.126,0.83638,1,0.49932,0.0001486,0.0001486,0.0001486
45,2114.02,0.12892,0.83481,1,0.52062,0.0001288,0.0001288,0.0001288
46,2159.37,0.11127,0.83612,1,0.5353,0.000109,0.000109,0.000109
47,2204.36,0.11219,0.83847,1,0.53167,8.92e-05,8.92e-05,8.92e-05
48,2249.53,0.10394,0.84004,1,0.52703,6.94e-05,6.94e-05,6.94e-05
49,2294.54,0.12067,0.83821,1,0.52907,4.96e-05,4.96e-05,4.96e-05
50,2339.33,0.09551,0.83952,1,0.53208,2.98e-05,2.98e-05,2.98e-05
