epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.317,1.79852,1.42457,0.00973,0.78763,0.57279,0.66696,0.3717,1.78776,1.17738,0.01111,0.000332941,0.000332941,0.0670389
2,346.915,1.72617,1.31248,0.00917,0.77617,0.57617,0.66954,0.37005,1.78524,1.19549,0.01111,0.000658029,0.000658029,0.0340306
3,424.456,1.70724,1.28339,0.00906,0.77419,0.57189,0.66377,0.35246,1.80566,1.23381,0.01162,0.000974867,0.000974867,0.00101413
4,500.724,1.68003,1.2634,0.00893,0.79219,0.58713,0.68273,0.37053,1.81204,1.15678,0.01139,0.000962875,0.000962875,0.000962875
5,577.553,1.66912,1.24322,0.00876,0.79756,0.58745,0.68708,0.39717,1.71812,1.10133,0.01052,0.0009505,0.0009505,0.0009505
6,655.29,1.65637,1.23518,0.0086,0.80925,0.59457,0.69806,0.41501,1.65869,1.07495,0.01007,0.000938125,0.000938125,0.000938125
7,733.307,1.64097,1.21621,0.00849,0.80565,0.5892,0.69353,0.41426,1.66135,1.09147,0.00994,0.00092575,0.00092575,0.00092575
8,810.237,1.63091,1.20925,0.0085,0.8112,0.59928,0.70053,0.415,1.67302,1.07537,0.01,0.000913375,0.000913375,0.000913375
9,887.176,1.62387,1.19961,0.00835,0.816,0.60237,0.70295,0.42192,1.64036,1.08345,0.00978,0.000901,0.000901,0.000901
10,965.027,1.61778,1.19181,0.00829,0.81465,0.59657,0.70269,0.40907,1.69291,1.07843,0.01015,0.000888625,0.000888625,0.000888625
11,1042.64,1.60978,1.18484,0.0083,0.81191,0.60288,0.70658,0.42362,1.63717,1.07393,0.00958,0.00087625,0.00087625,0.00087625
12,1119.95,1.6084,1.17955,0.00817,0.81374,0.59926,0.70444,0.42768,1.60985,1.05414,0.00956,0.000863875,0.000863875,0.000863875
13,1197.52,1.59564,1.17098,0.00813,0.81385,0.60648,0.70837,0.43147,1.61564,1.05323,0.00947,0.0008515,0.0008515,0.0008515
14,1275.47,1.59554,1.17029,0.00812,0.82179,0.60232,0.70896,0.42434,1.64516,1.04464,0.00964,0.000839125,0.000839125,0.000839125
15,1352.63,1.58878,1.16448,0.00807,0.82165,0.6141,0.71634,0.43977,1.5949,1.01812,0.00926,0.00082675,0.00082675,0.00082675
16,1430.35,1.58502,1.1572,0.00798,0.82053,0.61121,0.71395,0.43064,1.6322,1.03531,0.0095,0.000814375,0.000814375,0.000814375
17,1508.14,1.57982,1.1553,0.00803,0.82188,0.61198,0.71388,0.43538,1.61356,1.02657,0.00941,0.000802,0.000802,0.000802
18,1585.04,1.57216,1.14136,0.00789,0.82253,0.61376,0.71708,0.44238,1.5879,1.00794,0.00918,0.000789625,0.000789625,0.000789625
19,1663,1.56752,1.14472,0.00791,0.82317,0.61293,0.7184,0.44152,1.59453,1.01743,0.00921,0.00077725,0.00077725,0.00077725
20,1740.36,1.55979,1.13872,0.00789,0.82581,0.6139,0.71939,0.44207,1.59045,1.01585,0.00918,0.000764875,0.000764875,0.000764875
21,1817.55,1.55359,1.13559,0.00785,0.82389,0.61629,0.72018,0.44106,1.59699,1.01653,0.00921,0.0007525,0.0007525,0.0007525
22,1894.48,1.55407,1.13393,0.00777,0.8264,0.61704,0.72221,0.44688,1.57889,1.01144,0.00908,0.000740125,0.000740125,0.000740125
23,1972.4,1.55008,1.12459,0.00777,0.82571,0.61984,0.72281,0.44871,1.57859,0.99897,0.00905,0.00072775,0.00072775,0.00072775
24,2049.92,1.54993,1.12531,0.00777,0.82331,0.61882,0.72161,0.4504,1.565,0.9996,0.00895,0.000715375,0.000715375,0.000715375
25,2127.78,1.55116,1.12312,0.00765,0.82784,0.62044,0.72443,0.45109,1.56967,0.99448,0.00894,0.000703,0.000703,0.000703
26,2205.58,1.54741,1.12191,0.00767,0.8303,0.6168,0.72451,0.4526,1.56708,0.99223,0.00895,0.000690625,0.000690625,0.000690625
27,2282.86,1.53591,1.11507,0.00769,0.82869,0.62244,0.72605,0.45429,1.55685,0.99422,0.00886,0.00067825,0.00067825,0.00067825
28,2361.25,1.52863,1.10981,0.00764,0.82658,0.62311,0.72617,0.45556,1.54923,0.99643,0.00879,0.000665875,0.000665875,0.000665875
29,2439.72,1.53344,1.11253,0.00765,0.82839,0.61886,0.7257,0.45642,1.54963,0.98798,0.00879,0.0006535,0.0006535,0.0006535
30,2517.86,1.53341,1.10262,0.00756,0.82724,0.6245,0.72723,0.45543,1.55696,0.9897,0.00885,0.000641125,0.000641125,0.000641125
31,2594.71,1.5313,1.10149,0.00759,0.82935,0.62363,0.72799,0.4526,1.56973,0.98719,0.00887,0.00062875,0.00062875,0.00062875
32,2670.93,1.52842,1.0974,0.00754,0.82773,0.6265,0.72931,0.45785,1.55451,0.97683,0.0088,0.000616375,0.000616375,0.000616375
33,2748.63,1.51808,1.10238,0.00755,0.83207,0.62482,0.72996,0.45827,1.54933,0.98131,0.00877,0.000604,0.000604,0.000604
34,2825.98,1.51841,1.09271,0.00749,0.83077,0.6244,0.72971,0.46118,1.53991,0.97818,0.00867,0.000591625,0.000591625,0.000591625
35,2903.94,1.51768,1.09072,0.00746,0.83015,0.62501,0.7302,0.46115,1.54208,0.97545,0.0087,0.00057925,0.00057925,0.00057925
36,2981.32,1.51198,1.08945,0.00748,0.83039,0.62502,0.73046,0.46083,1.54267,0.97608,0.00867,0.000566875,0.000566875,0.000566875
37,3058.63,1.51091,1.0869,0.00745,0.82985,0.62739,0.73049,0.46225,1.5374,0.97454,0.00864,0.0005545,0.0005545,0.0005545
38,3136.18,1.50537,1.08145,0.00747,0.83101,0.62887,0.73275,0.46298,1.53918,0.97156,0.00867,0.000542125,0.000542125,0.000542125
39,3214.16,1.50545,1.08034,0.00742,0.83331,0.6272,0.7324,0.46486,1.52975,0.97046,0.0086,0.00052975,0.00052975,0.00052975
40,3292.17,1.50404,1.08115,0.00736,0.831,0.6294,0.73314,0.46428,1.53439,0.96848,0.00861,0.000517375,0.000517375,0.000517375
41,3369.64,1.49919,1.07885,0.00745,0.83397,0.62779,0.73324,0.46399,1.53872,0.96873,0.00864,0.000505,0.000505,0.000505
42,3447.43,1.50264,1.07488,0.00732,0.8344,0.62649,0.73245,0.46494,1.53385,0.96745,0.00862,0.000492625,0.000492625,0.000492625
43,3526.05,1.49545,1.07163,0.00732,0.83173,0.62908,0.73353,0.46623,1.53007,0.96516,0.00858,0.00048025,0.00048025,0.00048025
44,3604.25,1.50465,1.07098,0.00727,0.83225,0.62943,0.73374,0.46554,1.53202,0.96668,0.00861,0.000467875,0.000467875,0.000467875
45,3681.18,1.48859,1.06624,0.00731,0.83286,0.62926,0.73373,0.4657,1.53304,0.96734,0.00861,0.0004555,0.0004555,0.0004555
46,3758.9,1.48941,1.06214,0.00724,0.83012,0.62978,0.73337,0.46516,1.53521,0.96653,0.00861,0.000443125,0.000443125,0.000443125
47,3836.38,1.4856,1.06677,0.00722,0.8333,0.6294,0.7341,0.466,1.53153,0.96568,0.00858,0.00043075,0.00043075,0.00043075
48,3913.96,1.48322,1.05542,0.00724,0.83459,0.62965,0.73445,0.46618,1.53061,0.96638,0.00855,0.000418375,0.000418375,0.000418375
49,3991.67,1.48551,1.05648,0.00719,0.8317,0.63138,0.73471,0.46605,1.53275,0.96431,0.00857,0.000406,0.000406,0.000406
50,4068.96,1.4846,1.06073,0.00724,0.83434,0.63003,0.73529,0.46795,1.52672,0.96274,0.00854,0.000393625,0.000393625,0.000393625
51,4146.85,1.4764,1.05317,0.0072,0.83492,0.63057,0.73522,0.46764,1.52738,0.96351,0.00854,0.00038125,0.00038125,0.00038125
52,4224.66,1.48132,1.0485,0.00715,0.8352,0.6309,0.73567,0.46756,1.52873,0.96257,0.00854,0.000368875,0.000368875,0.000368875
53,4302.13,1.47945,1.05191,0.00719,0.83562,0.63185,0.73592,0.46878,1.52554,0.96141,0.00852,0.0003565,0.0003565,0.0003565
54,4379.67,1.46788,1.04821,0.0072,0.83619,0.63194,0.73625,0.46907,1.52321,0.9611,0.00851,0.000344125,0.000344125,0.000344125
55,4457.65,1.47816,1.04672,0.00712,0.83747,0.63184,0.73631,0.4693,1.52306,0.95991,0.00851,0.00033175,0.00033175,0.00033175
56,4535.89,1.47083,1.04363,0.00708,0.83719,0.63211,0.73633,0.46884,1.5247,0.95999,0.00851,0.000319375,0.000319375,0.000319375
57,4613.91,1.47076,1.03987,0.00709,0.83497,0.63345,0.73623,0.46919,1.52339,0.96036,0.0085,0.000307,0.000307,0.000307
58,4691.67,1.46776,1.04074,0.00707,0.83541,0.63276,0.73596,0.46915,1.5228,0.96044,0.00849,0.000294625,0.000294625,0.000294625
59,4768.46,1.46513,1.04044,0.00708,0.83451,0.6327,0.73613,0.46901,1.52353,0.96021,0.00849,0.00028225,0.00028225,0.00028225
60,4846.12,1.47324,1.0414,0.00699,0.8351,0.63309,0.73629,0.46953,1.52298,0.95924,0.00849,0.000269875,0.000269875,0.000269875
61,4924.22,1.46341,1.03352,0.00703,0.83622,0.63181,0.73641,0.46981,1.52225,0.95834,0.00849,0.0002575,0.0002575,0.0002575
62,5002.27,1.45968,1.03417,0.00707,0.83475,0.63321,0.73688,0.46995,1.52239,0.95859,0.00849,0.000245125,0.000245125,0.000245125
63,5079.96,1.46583,1.03724,0.00697,0.83434,0.63358,0.73714,0.46999,1.52256,0.95895,0.00848,0.00023275,0.00023275,0.00023275
64,5157.46,1.45683,1.03106,0.00699,0.83377,0.63425,0.73711,0.47013,1.52259,0.95788,0.00849,0.000220375,0.000220375,0.000220375
65,5235.24,1.45979,1.03184,0.00693,0.8334,0.63417,0.73705,0.46994,1.52252,0.95806,0.00848,0.000208,0.000208,0.000208
66,5312.8,1.45883,1.02859,0.00697,0.83535,0.63322,0.73709,0.4701,1.52271,0.95832,0.00848,0.000195625,0.000195625,0.000195625
67,5390.25,1.45318,1.02828,0.00698,0.8352,0.6332,0.73703,0.47005,1.52234,0.9585,0.00848,0.00018325,0.00018325,0.00018325
68,5467.32,1.45089,1.02534,0.00695,0.83511,0.63337,0.73684,0.47003,1.52253,0.95927,0.00848,0.000170875,0.000170875,0.000170875
69,5544.95,1.44991,1.02184,0.00698,0.83524,0.63345,0.73684,0.47022,1.52277,0.95836,0.00848,0.0001585,0.0001585,0.0001585
70,5623.12,1.45247,1.02191,0.00689,0.83576,0.63354,0.73704,0.47042,1.52284,0.95784,0.00848,0.000146125,0.000146125,0.000146125
71,5697.71,1.33603,0.88622,0.00677,0.8358,0.63371,0.73704,0.47017,1.52355,0.95805,0.00849,0.00013375,0.00013375,0.00013375
72,5770.48,1.33244,0.87944,0.00667,0.83633,0.63337,0.73681,0.4702,1.52368,0.95801,0.00849,0.000121375,0.000121375,0.000121375
73,5842.85,1.33052,0.87631,0.00664,0.83435,0.63436,0.7367,0.47011,1.52383,0.95833,0.00849,0.000109,0.000109,0.000109
74,5915.99,1.32825,0.87242,0.00666,0.83487,0.63407,0.73674,0.47012,1.52433,0.95862,0.00849,9.6625e-05,9.6625e-05,9.6625e-05
75,5988.31,1.3248,0.86951,0.00663,0.8336,0.63447,0.73664,0.47017,1.52428,0.95868,0.00849,8.425e-05,8.425e-05,8.425e-05
76,6060.73,1.32576,0.87142,0.00659,0.83418,0.63411,0.73678,0.47027,1.52396,0.95866,0.00848,7.1875e-05,7.1875e-05,7.1875e-05
77,6133.76,1.32244,0.87241,0.00662,0.8345,0.63423,0.73679,0.47031,1.52386,0.95831,0.00848,5.95e-05,5.95e-05,5.95e-05
78,6206,1.31737,0.86722,0.00656,0.83445,0.63431,0.73676,0.47025,1.52371,0.95869,0.00849,4.7125e-05,4.7125e-05,4.7125e-05
