epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,85.7045,0.5752,0.68723,1,0.56055,0.000332255,0.000332255,0.0671068
2,155.42,0.51496,0.74327,1,0.4986,0.000652409,0.000652409,0.0340936
3,224.403,0.49052,0.75622,1,0.47918,0.000959364,0.000959364,0.00106724
4,293.464,0.48044,0.77888,1,0.45106,0.0009406,0.0009406,0.0009406
5,361.515,0.46599,0.77382,1,0.47214,0.0009208,0.0009208,0.0009208
6,428.273,0.44558,0.7898,1,0.43497,0.000901,0.000901,0.000901
7,495.018,0.43244,0.79061,1,0.45527,0.0008812,0.0008812,0.0008812
8,561.387,0.4221,0.81084,1,0.39913,0.0008614,0.0008614,0.0008614
9,628.318,0.40694,0.79021,1,0.44485,0.0008416,0.0008416,0.0008416
10,693.651,0.40327,0.80599,1,0.40907,0.0008218,0.0008218,0.0008218
11,757.196,0.38429,0.81206,1,0.42405,0.000802,0.000802,0.000802
12,821.478,0.38084,0.80356,1,0.41014,0.0007822,0.0007822,0.0007822
13,884.881,0.37353,0.81651,1,0.37228,0.0007624,0.0007624,0.0007624
14,947.52,0.35846,0.80902,1,0.39761,0.0007426,0.0007426,0.0007426
15,1010.8,0.33777,0.82662,1,0.37398,0.0007228,0.0007228,0.0007228
16,1072.11,0.33408,0.83269,1,0.37176,0.000703,0.000703,0.000703
17,1133.96,0.32627,0.83209,1,0.35987,0.0006832,0.0006832,0.0006832
18,1194.07,0.31385,0.83674,1,0.35358,0.0006634,0.0006634,0.0006634
19,1254.25,0.30928,0.8424,1,0.35928,0.0006436,0.0006436,0.0006436
20,1312.54,0.29801,0.84867,1,0.35086,0.0006238,0.0006238,0.0006238
21,1368.93,0.29086,0.84402,1,0.35554,0.000604,0.000604,0.000604
22,1425.42,0.28083,0.8507,1,0.3482,0.0005842,0.0005842,0.0005842
23,1482.3,0.27487,0.85029,1,0.33216,0.0005644,0.0005644,0.0005644
24,1538.13,0.26777,0.8513,1,0.34396,0.0005446,0.0005446,0.0005446
25,1592.19,0.25752,0.85576,1,0.3431,0.0005248,0.0005248,0.0005248
26,1645.71,0.25052,0.85919,1,0.33155,0.000505,0.000505,0.000505
27,1697.66,0.24212,0.86162,1,0.33552,0.0004852,0.0004852,0.0004852
28,1749.44,0.2289,0.86021,1,0.33897,0.0004654,0.0004654,0.0004654
29,1801.1,0.23384,0.86344,1,0.33142,0.0004456,0.0004456,0.0004456
30,1853.91,0.21274,0.86466,1,0.3456,0.0004258,0.0004258,0.0004258
31,1906.4,0.21281,0.86749,1,0.34026,0.000406,0.000406,0.000406
32,1960.04,0.20529,0.86445,1,0.3436,0.0003862,0.0003862,0.0003862
33,2011.11,0.20513,0.86284,1,0.34229,0.0003664,0.0003664,0.0003664
34,2062.88,0.1927,0.86911,1,0.33548,0.0003466,0.0003466,0.0003466
35,2115.05,0.1848,0.87093,1,0.32895,0.0003268,0.0003268,0.0003268
36,2166.51,0.18317,0.86729,1,0.33517,0.000307,0.000307,0.000307
37,2217.49,0.17592,0.8687,1,0.33998,0.0002872,0.0002872,0.0002872
38,2267.94,0.16464,0.86971,1,0.34552,0.0002674,0.0002674,0.0002674
39,2318.06,0.15434,0.87477,1,0.35512,0.0002476,0.0002476,0.0002476
40,2369.27,0.15745,0.87437,1,0.35476,0.0002278,0.0002278,0.0002278
41,2422.79,0.1508,0.87133,1,0.35208,0.000208,0.000208,0.000208
42,2473.25,0.14089,0.87457,1,0.35476,0.0001882,0.0001882,0.0001882
43,2524.63,0.13594,0.87477,1,0.35678,0.0001684,0.0001684,0.0001684
44,2576.48,0.13358,0.87639,1,0.35978,0.0001486,0.0001486,0.0001486
45,2627.46,0.12977,0.87518,1,0.36414,0.0001288,0.0001288,0.0001288
46,2677.2,0.12505,0.87639,1,0.36378,0.000109,0.000109,0.000109
47,2728.01,0.12262,0.87558,1,0.36818,8.92e-05,8.92e-05,8.92e-05
48,2780.72,0.12001,0.87457,1,0.36623,6.94e-05,6.94e-05,6.94e-05
49,2833.08,0.11464,0.87295,1,0.36636,4.96e-05,4.96e-05,4.96e-05
50,2887.3,0.10871,0.87457,1,0.36951,2.98e-05,2.98e-05,2.98e-05
