epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,128.984,0.60707,0.70018,1,0.55135,0.000332255,0.000332255,0.0671068
2,233.693,0.54339,0.70342,1,0.62436,0.000652409,0.000652409,0.0340936
3,337.608,0.52494,0.73983,1,0.50456,0.000959364,0.000959364,0.00106724
4,440.396,0.5196,0.75582,1,0.49397,0.0009406,0.0009406,0.0009406
5,543.116,0.50306,0.75926,1,0.47004,0.0009208,0.0009208,0.0009208
6,731.049,0.48569,0.74125,1,0.51589,0.000901,0.000901,0.000901
7,992.418,0.47659,0.77119,1,0.46178,0.0008812,0.0008812,0.0008812
8,1090.34,0.46203,0.75905,1,0.47615,0.0008614,0.0008614,0.0008614
9,1270.8,0.44683,0.77281,1,0.46926,0.0008416,0.0008416,0.0008416
10,1366.93,0.4358,0.77969,1,0.43894,0.0008218,0.0008218,0.0008218
11,1613.64,0.42378,0.79102,1,0.43065,0.000802,0.000802,0.000802
12,1789.57,0.4146,0.79709,1,0.42447,0.0007822,0.0007822,0.0007822
13,1957.51,0.40371,0.80599,1,0.4014,0.0007624,0.0007624,0.0007624
14,2137.47,0.39514,0.81206,1,0.39551,0.0007426,0.0007426,0.0007426
15,2225.75,0.3761,0.81428,1,0.40351,0.0007228,0.0007228,0.0007228
16,2313.52,0.37376,0.81165,1,0.39256,0.000703,0.000703,0.000703
17,2481.59,0.35995,0.81894,1,0.37799,0.0006832,0.0006832,0.0006832
18,2575.69,0.35171,0.83168,1,0.36194,0.0006634,0.0006634,0.0006634
19,2666.25,0.35051,0.82581,1,0.37372,0.0006436,0.0006436,0.0006436
20,2947.19,0.33445,0.83006,1,0.37647,0.0006238,0.0006238,0.0006238
21,3033.34,0.33168,0.82703,1,0.37242,0.000604,0.000604,0.000604
22,3118.64,0.32273,0.83209,1,0.3713,0.0005842,0.0005842,0.0005842
23,3205.81,0.31138,0.83492,1,0.35315,0.0005644,0.0005644,0.0005644
24,3292.61,0.30556,0.8424,1,0.34359,0.0005446,0.0005446,0.0005446
25,3380.05,0.29566,0.83654,1,0.35279,0.0005248,0.0005248,0.0005248
26,3541.23,0.28891,0.84483,1,0.3448,0.000505,0.000505,0.000505
27,3637.3,0.28143,0.84989,1,0.3374,0.0004852,0.0004852,0.0004852
28,3804.18,0.26918,0.85191,1,0.35066,0.0004654,0.0004654,0.0004654
29,3892.47,0.26982,0.8511,1,0.33529,0.0004456,0.0004456,0.0004456
30,4051.27,0.2615,0.85414,1,0.32838,0.0004258,0.0004258,0.0004258
31,4219.05,0.25802,0.85414,1,0.32575,0.000406,0.000406,0.000406
32,4388.37,0.24434,0.85596,1,0.32762,0.0003862,0.0003862,0.0003862
33,4553.2,0.23882,0.8596,1,0.32438,0.0003664,0.0003664,0.0003664
34,4643.17,0.22523,0.86,1,0.3194,0.0003466,0.0003466,0.0003466
35,4732.72,0.21954,0.85859,1,0.33158,0.0003268,0.0003268,0.0003268
36,4819.45,0.213,0.85879,1,0.34397,0.000307,0.000307,0.000307
37,4906.11,0.20686,0.86021,1,0.34282,0.0002872,0.0002872,0.0002872
38,4995.22,0.19965,0.86061,1,0.34249,0.0002674,0.0002674,0.0002674
39,5084.74,0.1928,0.85778,1,0.34641,0.0002476,0.0002476,0.0002476
40,5170.39,0.18799,0.85758,1,0.34966,0.0002278,0.0002278,0.0002278
41,5260.02,0.17807,0.85717,1,0.34887,0.000208,0.000208,0.000208
42,5346.16,0.17971,0.86405,1,0.35023,0.0001882,0.0001882,0.0001882
43,5433.5,0.16945,0.86243,1,0.35446,0.0001684,0.0001684,0.0001684
44,5519.34,0.1656,0.86263,1,0.35477,0.0001486,0.0001486,0.0001486
45,5605.2,0.16002,0.86486,1,0.3561,0.0001288,0.0001288,0.0001288
46,5692.96,0.1546,0.86708,1,0.35638,0.000109,0.000109,0.000109
47,5780.49,0.14899,0.8687,1,0.35836,8.92e-05,8.92e-05,8.92e-05
48,5868.22,0.1448,0.86911,1,0.36018,6.94e-05,6.94e-05,6.94e-05
49,5954.63,0.14112,0.8685,1,0.3614,4.96e-05,4.96e-05,4.96e-05
50,6041.27,0.1342,0.8681,1,0.36517,2.98e-05,2.98e-05,2.98e-05
