epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,100.27,0.63295,0.68321,1,0.68734,0.0670541,0.000332787,0.000332787
2,191.582,0.57229,0.7033,1,0.58729,0.0340459,0.000657877,0.000657877
3,273.84,0.56642,0.71745,1,0.53277,0.00102936,0.000974717,0.000974717
4,358.302,0.55437,0.71991,1,0.537,0.000962875,0.000962875,0.000962875
5,425.649,0.53663,0.73939,1,0.5298,0.0009505,0.0009505,0.0009505
6,483.986,0.52183,0.73857,1,0.48583,0.000938125,0.000938125,0.000938125
7,541.451,0.50282,0.73201,1,0.51569,0.00092575,0.00092575,0.00092575
8,598.725,0.48597,0.75087,1,0.49026,0.000913375,0.000913375,0.000913375
9,657.384,0.47959,0.76092,1,0.47301,0.000901,0.000901,0.000901
10,721.319,0.47342,0.77507,1,0.46159,0.000888625,0.000888625,0.000888625
11,787.15,0.46079,0.7478,1,0.46543,0.00087625,0.00087625,0.00087625
12,855.48,0.45852,0.78839,1,0.43176,0.000863875,0.000863875,0.000863875
13,924.049,0.45384,0.78286,1,0.43976,0.0008515,0.0008515,0.0008515
14,996.369,0.44701,0.80131,1,0.41311,0.000839125,0.000839125,0.000839125
15,1070.09,0.43293,0.80398,1,0.40183,0.00082675,0.00082675,0.00082675
16,1142.58,0.42897,0.79783,1,0.40437,0.000814375,0.000814375,0.000814375
17,1215.95,0.42199,0.80275,1,0.41239,0.000802,0.000802,0.000802
18,1292.23,0.40946,0.81218,1,0.39198,0.000789625,0.000789625,0.000789625
19,1367.89,0.40659,0.81177,1,0.39295,0.00077725,0.00077725,0.00077725
20,1445.16,0.39348,0.81772,1,0.39199,0.000764875,0.000764875,0.000764875
21,1521.33,0.38553,0.81485,1,0.38164,0.0007525,0.0007525,0.0007525
22,1593.97,0.37611,0.82653,1,0.35702,0.000740125,0.000740125,0.000740125
23,1659.55,0.38173,0.82038,1,0.36891,0.00072775,0.00072775,0.00072775
24,1727.34,0.36921,0.8294,1,0.35898,0.000715375,0.000715375,0.000715375
25,1800.78,0.35674,0.82715,1,0.35812,0.000703,0.000703,0.000703
26,1877.7,0.35301,0.83863,1,0.35451,0.000690625,0.000690625,0.000690625
27,1956.15,0.34637,0.83494,1,0.35504,0.00067825,0.00067825,0.00067825
28,2033.49,0.34167,0.83617,1,0.35168,0.000665875,0.000665875,0.000665875
29,2111.35,0.33896,0.84253,1,0.34546,0.0006535,0.0006535,0.0006535
30,2191.36,0.32988,0.84478,1,0.34323,0.000641125,0.000641125,0.000641125
31,2271.91,0.31947,0.8456,1,0.33572,0.00062875,0.00062875,0.00062875
32,2351.73,0.31096,0.84806,1,0.33699,0.000616375,0.000616375,0.000616375
33,2431.79,0.30978,0.84786,1,0.33237,0.000604,0.000604,0.000604
34,2512.3,0.30335,0.85237,1,0.3321,0.000591625,0.000591625,0.000591625
