epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
35,2591.94,0.29717,0.85401,1,0.32952,0.00057925,0.00057925,0.00057925
36,2672.68,0.28851,0.85585,1,0.32829,0.000566875,0.000566875,0.000566875
37,2752.33,0.28428,0.85483,1,0.33014,0.0005545,0.0005545,0.0005545
38,2832.54,0.2798,0.85749,1,0.32554,0.000542125,0.000542125,0.000542125
39,2913.1,0.2723,0.8536,1,0.3279,0.00052975,0.00052975,0.00052975
40,2993.32,0.27747,0.85606,1,0.32336,0.000517375,0.000517375,0.000517375
41,3076.04,0.26632,0.8618,1,0.32217,0.000505,0.000505,0.000505
42,3156.7,0.25694,0.86283,1,0.31994,0.000492625,0.000492625,0.000492625
43,3238.83,0.25445,0.86242,1,0.32351,0.00048025,0.00048025,0.00048025
44,3321.13,0.24727,0.86283,1,0.31919,0.000467875,0.000467875,0.000467875
45,3403.78,0.25018,0.8659,1,0.32192,0.0004555,0.0004555,0.0004555
46,3484.58,0.23346,0.86877,1,0.32372,0.000443125,0.000443125,0.000443125
47,3566.99,0.23852,0.86898,1,0.31739,0.00043075,0.00043075,0.00043075
48,3649.08,0.22922,0.87021,1,0.31593,0.000418375,0.000418375,0.000418375
49,3737.53,0.22502,0.87021,1,0.3151,0.000406,0.000406,0.000406
50,3822.93,0.21815,0.86898,1,0.31753,0.000393625,0.000393625,0.000393625
51,3904.75,0.20982,0.86898,1,0.31833,0.00038125,0.00038125,0.00038125
52,3988.94,0.20977,0.87041,1,0.32177,0.000368875,0.000368875,0.000368875
53,4070.83,0.20588,0.87205,1,0.32364,0.0003565,0.0003565,0.0003565
54,4152.48,0.20535,0.87185,1,0.32054,0.000344125,0.000344125,0.000344125
55,4233.72,0.2021,0.87205,1,0.32018,0.00033175,0.00033175,0.00033175
56,4315.41,0.19338,0.87267,1,0.32247,0.000319375,0.000319375,0.000319375
57,4396.68,0.19326,0.87246,1,0.32414,0.000307,0.000307,0.000307
58,4477.48,0.18732,0.87349,1,0.32223,0.000294625,0.000294625,0.000294625
59,4559.71,0.18758,0.87205,1,0.32841,0.00028225,0.00028225,0.00028225
60,4642.04,0.18142,0.87287,1,0.32533,0.000269875,0.000269875,0.000269875
61,4723.11,0.17588,0.87226,1,0.32431,0.0002575,0.0002575,0.0002575
62,4805.28,0.16847,0.87287,1,0.32706,0.000245125,0.000245125,0.000245125
63,4885.78,0.16973,0.87328,1,0.32766,0.00023275,0.00023275,0.00023275
64,4968.04,0.1659,0.87328,1,0.32679,0.000220375,0.000220375,0.000220375
65,5053.29,0.16009,0.87267,1,0.33001,0.000208,0.000208,0.000208
66,5138.14,0.16012,0.87246,1,0.32959,0.000195625,0.000195625,0.000195625
67,5219.82,0.15555,0.87226,1,0.33024,0.00018325,0.00018325,0.00018325
68,5301.54,0.14722,0.87205,1,0.3335,0.000170875,0.000170875,0.000170875
69,5383.55,0.14686,0.87164,1,0.3412,0.0001585,0.0001585,0.0001585
70,5467.68,0.14936,0.87185,1,0.33667,0.000146125,0.000146125,0.000146125
71,5565.73,0.14695,0.87164,1,0.3348,0.00013375,0.00013375,0.00013375
72,5650.85,0.14057,0.87164,1,0.33659,0.000121375,0.000121375,0.000121375
73,5736.17,0.13743,0.87103,1,0.33727,0.000109,0.000109,0.000109
