epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21062.8,1.21879,0.74489,1.22556,0.83727,0.62437,0.71851,0.44648,1.23674,0.67334,1.16768,0.0005941,0.0005941,0.0005941
43,21676.4,1.21728,0.7421,1.22027,0.84105,0.6232,0.71902,0.44654,1.23722,0.67187,1.16646,0.0005842,0.0005842,0.0005842
44,22334.8,1.21239,0.74048,1.21917,0.84296,0.62105,0.71864,0.44656,1.23683,0.6697,1.16642,0.0005743,0.0005743,0.0005743
45,22978.6,1.21767,0.73825,1.22018,0.83883,0.62305,0.71818,0.44605,1.23811,0.67022,1.16673,0.0005644,0.0005644,0.0005644
46,23440.4,1.2138,0.73674,1.21849,0.84057,0.62253,0.71879,0.44745,1.23334,0.66986,1.16515,0.0005545,0.0005545,0.0005545
47,23856.1,1.21213,0.7365,1.21748,0.83954,0.62298,0.71891,0.44812,1.23159,0.66795,1.16379,0.0005446,0.0005446,0.0005446
48,24400.7,1.21031,0.73614,1.2183,0.83957,0.62265,0.71839,0.44731,1.23457,0.66701,1.16516,0.0005347,0.0005347,0.0005347
49,24928.9,1.20552,0.73311,1.21404,0.83928,0.62275,0.71881,0.44801,1.23181,0.66577,1.16317,0.0005248,0.0005248,0.0005248
50,25400.7,1.20697,0.73346,1.21664,0.84084,0.62155,0.71885,0.44835,1.22771,0.66561,1.16248,0.0005149,0.0005149,0.0005149
51,25916.7,1.20532,0.73321,1.21192,0.84077,0.62146,0.71924,0.44862,1.22733,0.6648,1.16231,0.000505,0.000505,0.000505
52,26440.2,1.19784,0.7274,1.21063,0.84264,0.62154,0.71939,0.44901,1.22668,0.66448,1.16169,0.0004951,0.0004951,0.0004951
53,26874.1,1.20085,0.72758,1.21031,0.84052,0.62294,0.71948,0.4491,1.22701,0.66413,1.16176,0.0004852,0.0004852,0.0004852
54,27396.4,1.20033,0.72852,1.20847,0.84031,0.62342,0.71986,0.4494,1.22635,0.66344,1.16244,0.0004753,0.0004753,0.0004753
55,27895.8,1.19988,0.72679,1.21061,0.84108,0.62362,0.72048,0.44988,1.22623,0.66271,1.16216,0.0004654,0.0004654,0.0004654
56,28344,1.19532,0.72343,1.20618,0.83968,0.62448,0.72058,0.44971,1.22745,0.66221,1.16233,0.0004555,0.0004555,0.0004555
57,28927.6,1.195,0.7226,1.20482,0.83982,0.62471,0.72064,0.44961,1.22929,0.66118,1.16233,0.0004456,0.0004456,0.0004456
58,29567.4,1.19185,0.72135,1.20354,0.83899,0.62547,0.72064,0.4497,1.22984,0.66101,1.16214,0.0004357,0.0004357,0.0004357
59,30197,1.18818,0.71962,1.20082,0.83862,0.62675,0.72111,0.44979,1.23,0.66068,1.16235,0.0004258,0.0004258,0.0004258
60,30852.9,1.18718,0.71806,1.19957,0.83747,0.62653,0.72078,0.44975,1.23079,0.65997,1.16268,0.0004159,0.0004159,0.0004159
61,31471,1.19024,0.71738,1.2022,0.83776,0.62602,0.72081,0.44986,1.2305,0.6595,1.16267,0.000406,0.000406,0.000406
62,32084.9,1.18814,0.71746,1.20194,0.83794,0.62625,0.72064,0.44975,1.23046,0.65907,1.16221,0.0003961,0.0003961,0.0003961
63,32748.4,1.18599,0.71679,1.20039,0.83827,0.62634,0.72074,0.45001,1.22931,0.65841,1.1616,0.0003862,0.0003862,0.0003862
64,33615.3,1.18337,0.71506,1.19826,0.83863,0.62597,0.72086,0.45027,1.22854,0.65816,1.16095,0.0003763,0.0003763,0.0003763
65,34498.8,1.18296,0.71159,1.19685,0.83962,0.6255,0.72065,0.45041,1.22846,0.6578,1.16068,0.0003664,0.0003664,0.0003664
66,35410.2,1.17987,0.71174,1.19694,0.8387,0.62595,0.72078,0.45044,1.22869,0.6576,1.16079,0.0003565,0.0003565,0.0003565
67,36334.1,1.18274,0.71163,1.19745,0.83844,0.62575,0.72065,0.45038,1.22872,0.65716,1.16058,0.0003466,0.0003466,0.0003466
68,37231.7,1.17991,0.70858,1.19175,0.83801,0.62586,0.72065,0.45048,1.2286,0.65672,1.16035,0.0003367,0.0003367,0.0003367
69,38124.3,1.1797,0.71009,1.19495,0.83803,0.62573,0.72043,0.45048,1.22806,0.65621,1.16025,0.0003268,0.0003268,0.0003268
70,39005.3,1.17506,0.70665,1.191,0.83809,0.62577,0.72063,0.45053,1.22787,0.65602,1.16011,0.0003169,0.0003169,0.0003169
71,39805.9,1.17722,0.70734,1.19464,0.83875,0.62529,0.7206,0.45064,1.22726,0.65572,1.15992,0.000307,0.000307,0.000307
72,40219.1,1.17561,0.70718,1.19079,0.83852,0.62562,0.7207,0.45071,1.22681,0.65554,1.1597,0.0002971,0.0002971,0.0002971
73,40742.7,1.17307,0.70417,1.19231,0.83726,0.62598,0.72065,0.45081,1.22672,0.65531,1.15992,0.0002872,0.0002872,0.0002872
74,41287,1.17513,0.70262,1.18865,0.83747,0.62603,0.7208,0.45082,1.22654,0.65515,1.16,0.0002773,0.0002773,0.0002773
75,41826.7,1.16932,0.69968,1.18653,0.83853,0.62541,0.72079,0.45096,1.2267,0.65498,1.15999,0.0002674,0.0002674,0.0002674
76,42366.3,1.16908,0.7014,1.18881,0.83851,0.62544,0.72061,0.4509,1.22702,0.65494,1.16009,0.0002575,0.0002575,0.0002575
77,42800,1.1672,0.70031,1.18803,0.83804,0.6259,0.72066,0.45093,1.22701,0.65493,1.16009,0.0002476,0.0002476,0.0002476
78,43180.9,1.16372,0.69823,1.18849,0.83858,0.6257,0.72059,0.45095,1.22677,0.65473,1.1601,0.0002377,0.0002377,0.0002377
79,43564.7,1.16779,0.70097,1.18749,0.83863,0.62593,0.72069,0.45096,1.22673,0.65469,1.16007,0.0002278,0.0002278,0.0002278
80,44042.9,1.15884,0.69242,1.18324,0.83861,0.62594,0.72086,0.45101,1.22667,0.65448,1.16012,0.0002179,0.0002179,0.0002179
81,44596.4,1.16144,0.69662,1.18373,0.83914,0.6257,0.721,0.45106,1.22658,0.65425,1.16015,0.000208,0.000208,0.000208
82,45136,1.15732,0.6922,1.18314,0.83883,0.62572,0.7208,0.45099,1.22655,0.65415,1.16006,0.0001981,0.0001981,0.0001981
83,45706.1,1.16056,0.69526,1.1811,0.83805,0.62613,0.72071,0.451,1.22681,0.65409,1.16023,0.0001882,0.0001882,0.0001882
84,46285,1.15693,0.69316,1.17823,0.83836,0.62585,0.72077,0.45101,1.22672,0.65407,1.16018,0.0001783,0.0001783,0.0001783
85,46862,1.15802,0.69251,1.17898,0.83836,0.62585,0.72082,0.45104,1.22662,0.65394,1.16015,0.0001684,0.0001684,0.0001684
86,47448.2,1.15364,0.68844,1.17863,0.83794,0.62586,0.72053,0.45102,1.22652,0.65377,1.16018,0.0001585,0.0001585,0.0001585
87,48029.6,1.15168,0.68766,1.17838,0.83832,0.6256,0.72066,0.45112,1.22645,0.65377,1.16028,0.0001486,0.0001486,0.0001486
88,48613.4,1.15273,0.6876,1.17875,0.8396,0.62504,0.72079,0.45111,1.22637,0.65364,1.16038,0.0001387,0.0001387,0.0001387
89,49194.5,1.15242,0.68869,1.17667,0.83943,0.62517,0.72085,0.4512,1.22625,0.65353,1.16039,0.0001288,0.0001288,0.0001288
90,49773.6,1.15226,0.68672,1.1738,0.84003,0.62458,0.72069,0.45126,1.22589,0.65342,1.1603,0.0001189,0.0001189,0.0001189
91,50319.1,1.05205,0.60215,1.10982,0.84064,0.62424,0.72059,0.45125,1.22564,0.65328,1.1603,0.000109,0.000109,0.000109
92,50854.6,1.04749,0.60039,1.10882,0.84071,0.62439,0.7206,0.45136,1.22548,0.65305,1.1603,9.91e-05,9.91e-05,9.91e-05
93,51386.5,1.04627,0.59957,1.10792,0.84055,0.6246,0.72065,0.45146,1.22522,0.65289,1.16023,8.92e-05,8.92e-05,8.92e-05
94,51921.5,1.04591,0.5984,1.10598,0.83998,0.62512,0.72063,0.45151,1.22505,0.65282,1.16025,7.93e-05,7.93e-05,7.93e-05
95,52461.7,1.04212,0.59584,1.10607,0.84013,0.62516,0.72073,0.45159,1.22492,0.6527,1.16025,6.94e-05,6.94e-05,6.94e-05
96,53005.1,1.03983,0.59466,1.10703,0.84009,0.62506,0.72076,0.45164,1.2248,0.65251,1.16027,5.95e-05,5.95e-05,5.95e-05
97,53545.6,1.03963,0.59349,1.10415,0.83965,0.62532,0.72072,0.45167,1.22467,0.65235,1.16024,4.96e-05,4.96e-05,4.96e-05
98,54081.4,1.03676,0.59205,1.10392,0.84021,0.62505,0.72061,0.4516,1.22465,0.65223,1.1603,3.97e-05,3.97e-05,3.97e-05
99,54621.8,1.03757,0.59199,1.10521,0.83911,0.62561,0.72065,0.45179,1.22464,0.65212,1.16032,2.98e-05,2.98e-05,2.98e-05
100,55159.8,1.03623,0.59045,1.10286,0.83906,0.62557,0.72055,0.45173,1.22457,0.65202,1.16036,1.99e-05,1.99e-05,1.99e-05
