epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,131.715,1.28453,0.48163,0.01004,0.93855,0.95,0.97126,0.59428,1.38839,0.52902,0.01284,0.00048025,0.00048025,0.00048025
44,133.722,1.33224,0.53257,0.0102,0.96127,0.96,0.97567,0.6369,1.30965,0.48225,0.01235,0.000467875,0.000467875,0.000467875
45,135.646,1.25507,0.4929,0.01046,0.93107,0.97,0.97115,0.65862,1.18478,0.41539,0.01126,0.0004555,0.0004555,0.0004555
46,137.78,1.25397,0.48994,0.01005,0.94118,0.96002,0.95748,0.66707,1.17305,0.40447,0.01104,0.000443125,0.000443125,0.000443125
47,139.763,1.29956,0.54498,0.01064,0.95409,0.97,0.96713,0.64729,1.2072,0.40568,0.01145,0.00043075,0.00043075,0.00043075
48,141.872,1.22168,0.4968,0.0098,0.94918,0.96,0.96144,0.64866,1.19373,0.36494,0.01116,0.000418375,0.000418375,0.000418375
49,143.911,1.28142,0.47065,0.01057,0.95142,0.98,0.9664,0.61468,1.31533,0.39938,0.01243,0.000406,0.000406,0.000406
50,145.934,1.19501,0.43586,0.00935,0.95145,0.97994,0.96534,0.65434,1.18387,0.37399,0.01127,0.000393625,0.000393625,0.000393625
51,147.912,1.19507,0.4363,0.00979,0.93994,0.97,0.95255,0.63644,1.1889,0.3928,0.01125,0.00038125,0.00038125,0.00038125
52,149.903,1.24791,0.42698,0.00955,0.94138,0.98,0.96221,0.66627,1.15691,0.37163,0.01067,0.000368875,0.000368875,0.000368875
53,152.018,1.23186,0.5229,0.00979,0.94956,0.98,0.96241,0.66413,1.16474,0.39033,0.01083,0.0003565,0.0003565,0.0003565
54,154.02,1.21417,0.46406,0.00923,0.96888,0.97,0.96006,0.65601,1.23779,0.43355,0.01148,0.000344125,0.000344125,0.000344125
55,156.041,1.23176,0.44797,0.01011,0.94897,0.97,0.96004,0.64732,1.25206,0.39721,0.01185,0.00033175,0.00033175,0.00033175
56,158.045,1.19025,0.48168,0.00985,0.95095,0.97,0.96065,0.64047,1.28692,0.39541,0.01222,0.000319375,0.000319375,0.000319375
57,160.032,1.20219,0.47023,0.00941,0.95784,0.96,0.95966,0.64902,1.29383,0.39144,0.01281,0.000307,0.000307,0.000307
